,Tweet,HS,Abusive
116,guna genap 1 17 april 2018 gelar hajat pilih presiden acara tahun negara indonesia pilih presiden moga senantiasa jalan aman lancar amin,0,0
117,guna ian pantat,0,1
118,guna guna aku orang pintar agama memang agama boleh nista hujat orang orang bodoh orang maaf lahir idiot harga cipta tuhan iblis pintar licik,0,1
119,daftar calon presiden buka agustus 2018 normatif politikus partai demokrasi indonesia juang paham,1,0
120,sih tolol tau perintah rezim komunis bobrok koruptor pimpin sidang dewan wakil rakyat paya cebong uniform resource locator,1,1
121,gue mantan mantan gue sedih pikir tidur lo gue anak berengsek laki laki,0,1
122,cina usak bangsa usir tuju,1,0
123,konstitusional hak rakyat woiii nih plonga plongo laku otoriter,1,1
124,mari wujud pilih kepala daerah kota bengkulu 2018 aman damai cok,0,0
125,serius presiden jokowi islam nusantara kristen nusantara buddha hindu kong konghucu nusantara,0,0
126,sama nyata bukti istana takut bangkit umat islam,0,0
127,cowok jago drasex ngentot adik luvian,0,1
128,guna kroasia kafir tau ajar kafir lupa kapling sorga,1,1
129,guna guna nya menteri soeharto homo,1,1
130,gue tau culun takut orang ubah perlahan lahan buruk,0,0
131,perang salib raja afrika bagi babilonia peluk kristen tobaco peluk islam,0,0
132,kejar setor bangsat rupiah turun x98,1,1
133,moga tindak lapor nista agama adek armando langsung ketua front bela islam kh shobri lubis badan reserse kriminal markas polisi republik indonesia gambir jakarta pusat selasa 10 4 13 00 indonesia barat guna,1,0
134,guna guna guna guna guna guna guna guna bangkai hajar,1,1
135,guna guna guna onta mati banyak minum,1,0
136,uniform resource locator ahok tng was was hidup guna guna guna guna guna guna guna,1,0
137,sul teng ekses akibat sandera hutang cina,1,0
138,6 pride yunani x99 xcf x80 xcf x81 xcf x86 hyper xc4 x93phania angkuh harga sombong kenal sebut hubris vanity harga ubah manusia sombong sombong manusia kutuk mata tuhan manusia cinta,0,0
139,tuju hati logika hati tenang logika hati sedih ku cari wasiat beliau tinggal asing asing mata manusia duhai,0,0
140,guna taji nya komisi berantas korupsi era era komitmen berantas korupsi surat pemberitahuan tahun era susilo bambang yudhoyono,1,0
141,rt guna admin tolol partai tolol partai tolol orang tolol,1,1
142,rt guna ayu ting ting goyang hot raffi ahmad nagita slavina kampung norak uniform resource locator,0,1
143,video tenaga kerja asing malaysia kutip nyata guna,0,0
144,ppp buru buru tolak wacana pilih kepala daerah dewan wakil rakyat daerah,0,0
145,random pagi pagi samper meja kerja pakai bedak sih biar muka bersih istri butek ku pakai air wudhu ku kristen,0,0
146,guna guna gue kampret,0,1
147,memek lonte sodok kontol gede,0,1
148,jokowi mundur guna tutup uniform resource locator,1,0
149,guna bicara mulut banci beli kaca lihat diri bro,1,1
150,guna amin racist nada dan nada ratna sih paiiit nada sih onta nada sih lobang anus takut oi oi habis obat tenang ya,1,1
151,guna tunggu komando imam bejat cabul guna tai bir bawa ulama dasar banj sempak,1,1
152,kabinet beranta pecah belah satu rezim,1,0
153,ih aku pintar orang politik kaca oi tampang k xa6k orang bego guna wkwk,1,1
154,tekan usaha tambang target proyek impossible lelang murah antek cina ntb contoh partai demokrasi indonesia juang menang dasar bajing,1,1
155,guna guna percaya mulut buaya mu bawang,1,1
156,2019 susilo bambang yudhoyono prabowo satu lawan mega jokowi peristiwa 2004 ulang mana partai demokrasi indonesia juang incumbent kalah mutlak susilo bambang yudhoyono jokowi mega susilo bambang yudhoyono lawan prabowo mk pilih presiden selesai 3 poros pilih presiden mk salah lawan,0,0
157,rt guna guna kayak banci kaleng gatot gaduh gentleman mundur saing pilih presiden 2019 lawan jokowi,1,1
158,bebal,0,0
159,5 indonesia negara populasi muslim besar dunia islam musuh barat amp komunis hambat agenda penting obviously,0,0
160,guna guna umuh persib persib kunyuk x98 x82 x98 x82 x98 x82,1,1
161,guna guna film muslim pilih ahok mati salat jamin laris,1,0
162,banu banu yahudi beda banu banu kristen suriah salah beda banu yahudi pakai elohim yahwe suriah pakai alah allah,0,0
163,guna eh muka merah merah cendol setan cuaca nih panas,0,1
164,berita katak akan tim prabowo anies sandi media tumpah sakit hati katak cebong ehe,1,1
165,giat bhayangkara bina aman tertib masyarakat brigadir polisi manajemen bas sekolah sihombing rabu 11 april 2018 laksana sambang desa tatap muka pantau aman tertib masyarakat pilih kepala daerah 2018 desa i tepat rumah rudi panjaitan siahaan siahaan,0,0
166,sayang banget ya perempuan kayak status tempel laki laki aduh nagita slavina blak blak ayu ting ting kampung x80 x93 viva uniform resource locator,0,1
167,guna lupa kang umat katolik minoritas perhati gubernur golong golong,0,0
168,guna guna guna guna cebong bilang kemarin ngeyel situ paksa cebong,1,1
169,guna lemah gerindra orang prabowo turun elektabilitasnya congor fadli zon surat pemberitahuan tahun durno,1,1
170,selamat kartini kali raya makna kali,0,0
171,foto bisu milik arti susah arti susah arti putus,0,0
172,guna wkwk alam x98 x82 x98 x82 x98 x82 x98 x82 muncul grub wa a bani abdi had a k a mbah mek kenal orang,0,0
173,ayah pres badar nuqaba boekkk nih hebat bidang agama x takut natural killer tegur member lawak hambar lawak orang jom gerak gera badan chubby,0,0
174,anak pekan ilham dasar ekonomi deb gerak utama maju ekonomi bandar beliau allah ya rahman tun abdul razak ds guna,0,0
175,guna guna haha sial nih sih guna lapar presiden sikat,0,0
176,guna guna guna nasihat kali ugal ugalan nih rezim eh negeri keburu hancur ekonomi moral meni,1,0
177,guna alah silit kebelet kasihan orang sayang media sosial gue sadar instansi kemarin gue cerita duuuhhh x98,0,1
178,guna iya cacat,0,0
179,guna 2019 rakyat makan aspal beton solusi jitu kurang miskin ahli cebong 1 tukang tipu cebong goblok ketulungan plonga plongo akibat optimisme,1,1
180,guna baca harun yahya belot kubu yahudi freemason nya kadang suka percaya,0,0
181,maju ulama gerak tokoh agama indonesia,0,0
182,guna guna guna guna guna guna guna guna guna guna guna guna guna guna guna guna guna guna guna guna guna,0,0
183,mudah ya keras keras nama,0,0
184,guna kemarin hujat harap dasar bani kampret,1,1
185,guna jelas fitnah sila ban guna darmawan al alquran kitab sampah,1,1
186,monyet bilang saudara ogah hidup ya hati comberan guna,1,1
187,body lufra scrub bahan dasar lidah buaya melembabkan kulit amp cahaya info 087812026394,0,0
188,guna cacat masa,0,0
189,guna guna anut bumi datar x98 teori bumi bulat orang asing notabene musuh,0,0
190,becak warga binjai sita tenda tulis partai adil sejahtera radang bukti perintah panik takut,1,0
191,jokowi mundur,1,0
192,musyawarah nasional alim ulama ppp semarang hasil rekomendasi syarat kriteria kriteria calon wakil presiden damping jokowi 2019,0,0
193,guna cerah nya gagal anak ekonomi wkwk,0,0
194,guna guna guna guna kafan asal budaya yahudi umat islam klaim,0,0
195,rezim kendali negara cina komunis patron tunggal rezim anti islam jokowi,1,0
196,guna guna tanda nya pilih kepala daerah pilih presiden,0,0
197,misi 4 bangun masyarakat gotong royong toleran harmoni selaras nilai budaya jawa barat luhur,0,0
198,tabah pasang taufik puan wajar contoh jom sumbang ringan beban pasang come on twitter do your pikir badan standar nasional bank islam bosan abdul razif,0,0
199,guna sih tai doang belagu langit karma idol flop gue tertawa keras,1,1
200,guna guna celeng kangen gue iya,0,1
201,budaya yuk unjung purwokerto mumpung even rakyat,0,0
202,presiden dana taktis penting rakyat program program perintah program bangun infrastruktur kip kartu indonesia sehat sertifikat tanah hutan sosial bahan bakar minyak 1 harga padat karya,0,0
203,guna amin ya allah tim kan latih ular rawa rawa dapat sungai gede musuh buaya wkwk,0,0
204,guna guna maju maki mama bolot,1,1
205,gerombol kadal jidat gosong suka ribut gerombol salah pura pura budek dasar gerombol cingkrang uniform resource locator,1,1
206,guna guna guna gentar takut kafir x98 x81,0,0
207,rt guna guna akun kritis anggap aneh jokowi,1,0
208,guna bego teman gue najis kesal gue,1,1
209,guna guna kafir kristen ulah,1,1
210,guna tau bau bau cir sipit buluk,1,1
211,guna kayak pegang mucikari,0,0
212,guru tk darma wanita satu desa plumbon porong deklarasi anti hoaks ujar benci isu sarah dukung pilih kepala daerah damai,0,0
213,guna anjir seram main begitu x98 x82,0,1
214,guna kayak bank bilang jual uang asing tukar rupiah,0,0
215,guna guna guna guna onta yaman nih tahun gue deportasi,1,1
216,hati hati berita pilih kepala daerah bau hoaks kunjung,0,0
217,guna anak cocot ya guna,1,1
218,guna x99 x88 x99 x88 x99 x88 x99 x88 x99 x88 x99 x88 x99 x88udah tahu hoaks ya fahri ambil berita tuyg baru tong sampah ambil screenshoot tau berita,1,0
219,mantap direct message baris serba bang guna,0,0
220,lebah suka bunga makan bangkai gue penasaran madu nya kayak x94,0,0
221,guna guna indonesia mundur bentuk,1,0
222,guna guna guna guna dongok bilang hacker haha,0,1
223,guna guna guna guna haha blunder cebong protein energy malnutrition pusat alas ham rakyat aceh ya kali coba datang perintah bilang suruh hukum islam kaffah aceh dewan wakil rakyat a,1,1
224,bangsat gue selam 1,0,1
225,pancing pancing urus nista bicara paham fiksi kitab suci,0,0
226,guna guna guna guna cebong kacung teman gue dungu tulang sumsum buang buang energi debat x98 x82,1,1
227,guna partai korupsi sapi goblok,1,1
228,sinyal kontol pelihara niat sih login twitter doang susah open redtube setan guna,1,1
229,guna guna mata kafir wkwk,0,0
230,guna facebook anjir lupa,0,1
231,guna sih bilang alah kontol,0,1
232,nikita mirzani pakai hijab bicara cebang cebong fantasi uh ah,1,1
233,guna tatap alih arah enggan tatap pria curiga kali gaduh suasana angie temu pria asing tidur sofa jadi,0,0
234,lahir kembang gera komunis indonesia pisah organisasi nama indische sociaal democratische vereeniging,0,0
235,shaheizy wajah baharu calpis,0,0
236,ya serah balas fokus kerja tugas proyek seni budaya 2 telah langsung kumpul presentasi syukur nilai muas jadi proyek,0,0
237,bro,0,0
238,laku bodoh guna masuk kategori buat senang laku sontoloyo guna menganggu satu bangsa laku naif guna langsung bentuk intimidasi ulama laku guna,1,1
239,monyet turun mukim warga cibadak sukabumi uniform resource locator,0,0
240,guna kotor bahagia warga cebong erti,1,1
241,giveaway taplak meja menang the rich,0,0
242,rt guna buka busuk kubu anies sandi menang berkah uniform resource locator prabowo usaha cuci tangan,1,0
243,guna guna wkwk bodoh bang,0,1
244,guna guna kayak orang bego bro b ego,1,1
245,menteri lingkung hidup hutan upaya perata ekonomi tora kawasan hutan hutan sosial tribun medan,0,0
246,guna guna mahfud md paling allah subhanahu wa taala berang bangsa ajak buang islam,1,1
247,guna guna orang orang bego banyak minum amp makan kotor onta otak nya somplak,1,1
248,kuak strategi kampanye tim menang anies sandi uniform resource locator,1,0
249,warga badui selesai ingat tradisi seba pendopo perintah kabupaten lebak lanjut temu gubernur banten wahidin halim sabtu 21 4,0,0
250,lembaga lembaga anti korupsi bubar sentuh kuasa gilir komisi berantas korupsi partai demokrasi indonesia juang partai politik kuasa pulang otot bubar komisi berantas korupsi,1,0
251,guna guna guna mas sudut salah agama bahaya rocky cerdik susun kalimat amp inti kasih tau erti fiksi ayo mas nya i,0,0
252,dukung calon presiden gagal pindah on sibuk urus asing bawa kabur uang rupiah 35 t sadar asing kabur bawa uang dukung pribumi anjing mustahil asing pribumi diam sogok mental kacung uniform resource locator,1,1
253,rt guna guna guna rabun budek gue tulis bicara x98 x81 x98 x80,1,1
254,bismillah tahan sepo kutuk,0,1
255,guna brahahahaaa cebong nya ahoker guna cebong cebok x98 guna,1,1
256,update status bikin tugas tugas selesai ya jancuk jembut,0,1
257,guna guna muslim jabat negara tindak bangsa negara,0,0
258,12 ikan sembuh sakit selamat bagus laik jual pisah seleksi ikan cacat permanen pelihara guna guna guna,0,0
259,pribumi sadar lihat kecuali cina komunis misionaris abai twit usir cina indonesia,1,0
260,presiden tuduh rezim anti islam buat negeri buat umat uniform resource locator,1,0
261,guna guna manusia bangsat,1,1
262,rt guna ya cina kenal wisata haram indonesia haha,1,0
263,rt guna prabowo partai adil sejahtera bib asyik anggap antek prabowo antek partai adil sejahtera hidup dramatis,1,0
264,sahabat salah bukti beda suku agama ras halang bina hubung umat manusia beda warna sendiri jalin teman terima kasih salah,0,0
265,guna guna guna lae turun turun ideologi partai komunis indonesia lekat jiwa,0,0
266,rt guna guna kesal rokok motor iya kadang pengap tutup macet x80,0,0
267,guna guna maaf kunyuk guna bro enak banget rasan sebar hoaks maaf sebar hoaks maaf mesti sapu guna biar jera nih orang uniform resource locator,1,1
268,halo warga jakarta wakil kepala dinas tanam modal layan padu pintu provinsi daerah khusus ibukota jakarta denny wahyu haryanto wakil wakil gubernur provinsi daerah khusus ibukota jakarta buka acara 2018 junior chamber international indonesia nasional event,0,0
269,2 kuat jaring gubernur guna tekan kuasa state of the art knowledge bahasa rantau indonesia guna,0,0
270,pandang tuan guru bajang agama politik,0,0
271,rt guna sedia berengsek,1,1
272,susilo bambang yudhoyono presiden ri 6 khofifah emil masyarakat no 1,0,0
273,guna guna guna dungu orang ganti presiden tau mikir,1,1
274,rt guna bokep cewek bispak bandung ngentot crot x98 x80 unduh full uniform resource locator uniform resource locator,0,1
275,guna kampret complain raga tanggap fuck,1,1
276,kayak jablay grand theft auto mau jemput pakai mobil,1,1
277,lihat memek tante,0,1
278,guna kerja musuh dakwah islam bubar hati rakyat hak lengser jokowi kodok tukang citra,1,0
279,guna guna guna guna ha lengkap orang bukti goblok sih,1,1
280,x80 x80 salah khalifah rasyidin x80 rang orang kafir x80 x80 orang orang munafik x80 x80 orang munafik,0,0
281,guna guna guna guna guna guna guna guna guna guna guna guna guna guna guna guna guna guna suka nete uji nasional maklum,0,1
282,guna nek lihat match chelsea sih menang mudah manchester united iya embuh sih chelsea kacrut ki prediksi x98 x82,1,1
283,guna ya kali tentara nasional indonesia suruh urus sampah plastik x98,0,0
284,guna guna khawatir manuver politik bijak rezim moga negara satu republik indonesia cinta amin,0,0
285,madi arya lapor rocky polisi serius kitab suci fiksi rocky nyata salah hina tunggu anut agama a anggap kitab suci,0,0
286,guna bajing tengik,0,1
287,pakai buruh cina rakyat anggur dasar rejim kodok,1,1
288,guna guna guna guna guna guna guna guna guna guna guna guna guna guna guna guna guna guna guna guna,1,1
289,rupiah haneul cute pacar perek on retweet,0,1
290,guna guna guna guna guna guna guna guna guna guna guna guna bilang anti asing asing tau wkwk,0,0
291,guna suriah sekolah radikal rakit bom pulang indonesia ya aman,0,0
292,rt guna kadang hidup kayak tai kadang berak orang beres tainya tangan iya x80,0,1
293,guna ih banci selotipan x98 x82,1,1
294,rt guna guna guna guna guna guna guna haha kalah nih iya orang jahat kalah,1,0
295,rt guna keanekaragaman budaya suku agama sungguh kaya djarot hadap serta,0,0
296,rt guna guna cinta orde meng idola prabowo amp hary tanoe,1,0
297,tantang buka dada eh sebut setan habis kamus lawan kenegarawanan joko widodo presiden ri 7 stres nih hati hati kena strok serang jantung rakyat indonesia hilang badut badut politik merdeka,1,1
298,guna guna guna guna belah duren ya dungu ya cebong x98 x80 x98 x86 maaf ya,1,1
299,2 orang orang yahudi nasrani al kitab taurat injil kenal muhammad,0,0
300,bubar hati amp front bela islam uniform resource locator,1,0
301,ahok verbal keras lampias lari lelaki lunak,1,0
302,guna bagi teman teman kantor langgan cadar langsung bilang awas bom hela nafas x98,0,0
303,rt guna pantat nih tusuk tusuk x89open bo wa 08157686707,0,1
304,guna ancam bunuh presiden republik indonesia mas mesti lapor tegak hukum tindak ancam bunuh kepala negara,0,0
305,guna kayak orang nyosor nete,0,1
306,guna ngewe,0,1
307,guna jebur cebur,0,1
308,partai adil sejahtera ulang balai kota rr bicara calon presiden balai kota ganti nama balai politik,0,0
309,guna lanjut rencana guna seret guna adil ham pbb uniform resource locator,1,0
310,guna bijak kembali barang konsumen barang rusak cacat produksi konsumen puas produk hitung 7 tanggal beli ikut,0,0
311,kisah hidup muhammad lengkap unduh,0,0
312,jajah bumi indonesia hapus jajah ekonomi budaya hasil bumi cina basmi negara satu republik indonesia usir,1,0
313,guna guna guna guna guna guna we pipis onta cecer mari bau pesing,0,1
314,guna guna jadi teriak lantang perintah pro asing pas tawar bantu asing bikin posko inti kompor keluarga korban perintah bilang 15 3,0,0
315,guna guna mari juang lantik 2019 gentar takut mata benang leher ujung tombak perut surut langkah bisu suara,0,0
316,rt guna guna guna guna guna guna guna kayak monyet,0,1
317,survei metro televisi jokowi menang presiden hitung ya 45 kalah 46 salah judul maksud jokowi menang sumber zie bajrie,1,0
318,guna guna guna guna guna guna guna guna guna guna guna guna guna guna guna guna guna guna guna guna guna guna guna,0,0
319,cuba tegak anime nih no san nak feeling feeling cinta monyet zaman sekolah throwback habis 9 10 uniform resource locator,0,0
320,seru pesta budaya derau kuta kartanegara,0,0
321,rt guna kontak retweet ya banget kenal tante jilboobs sange nini nama tante dea o x80,0,1
322,debat publik ajang bukti pintar ruang akademik pamer indah orang kuat lemah egosentris nama kuat tahan l,0,0
323,duduk istana negara lengser jokowi salam guna,1,0
324,rt guna hebat guna sibuk citra guna guna guna guna baca nih,1,0
325,guna muslim hina iblis betina nista syariat,1,1
326,rt guna baby kafir buddha teroris myanmar,1,1
327,indonesia merdeka indonesia jajah orang cina takbir allahu akbar uniform resource locator,1,0
328,amat politik hanta yudha pasang calon no 2 nya jawa,0,0
329,rt guna guna jongos nista agama ahok sok sok ngong sara majikan nya tebar sara astagfirullah tobat,1,1
330,guna guna guna guna follow beli katolik akun prof guna tambah wawas bangsa terima kasih,0,0
331,guna sih bejat cabul guna kecut sih onta iya,1,1
332,wibisono citra jokowi sebar up media massa pro asing kes jokowi hasil,1,0
333,rt guna guna guna adi gaya kayak beruk supir tembak metromini masuk dewan wakil rakyat kampung,1,1
334,guna guna km mainstream arti pintar pintar relatif gantung bawa mana erti surat pemberitahuan tahun pintar meng orang gue pintar komen rejim now pintar janji janji doang sok making,1,0
335,guna gue dongok,0,1
336,guna guna ih masak sama sampah x98 x98 x98,0,0
337,guna guna guna guna gue pukau,1,0
338,aspirasi lina sumedang calon gubernur jabar berantas rebut laki orang resah hidup warga desa,0,0
339,guna guna guna guna guna yaelah chat urus mesum anggota dewan wakil rakyat diam nyata selingkuh tujuh pura pura budek otak,1,1
340,guna takut cina party dap bimbang paham bawa,0,0
341,cermin pecah kaca,0,0
342,guna langsung tag partai berani ya banci,1,1
343,awwww comel nya asing warna,0,0
344,islam jadi manusia idealis realistis hidup lupa ajak keras ajak istirahat,0,0
345,guna kristus anjing anjing jembut keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk k,1,1
346,guna agama katolik sebut katolik nusantara agama kristen protestan sebut kristen protestan nusantara agama hindu sebut hindu nusantara agama buddha sebut buddha nusantara,0,0
347,3 bas teknologi digital presiden sistem jalan langsung ramah guna,0,0
348,guna guna ah asa hibur cebong bahagia presiden cebong tol cebong germo x98 x82 x98 x82 x98 x82,1,1
349,resah presiden hidup penuh drama citra main film televisi joko judul uniform resource locator,1,0
350,agama kristen golong darah b nasal san fernando valley,0,0
351,buddha bunuh muslim myanmar,1,0
352,guna yahudi bangkai jerman ibadah,1,1
353,papa ketua fraksi rakyat nya setya novanto dewan wakil rakyat pecat ketua dewan wakil rakyat pecat dewan wakil rakyat,1,0
354,guna guna guna guna cina,0,0
